,precision,recall,f1-score,support
Gir,0.8958333333333334,0.9635854341736695,0.9284750337381916,357.0
Holstein Friesian,0.0,0.0,0.0,159.0
Jersey,1.0,0.002288329519450801,0.0045662100456621,437.0
Red Sindhi,0.0,0.0,0.0,0.0
Sahiwal,0.0,0.0,0.0,0.0
accuracy,0.3620146904512067,0.3620146904512067,0.3620146904512067,0.3620146904512067
macro avg,0.3791666666666667,0.19317475273862406,0.18660824875677076,953.0
weighted avg,0.7941369359916055,0.3620146904512067,0.3499066325650459,953.0
