,precision,recall,f1-score,support
gir,0.9281767955801105,0.9411764705882353,0.9346314325452016,357.0
red_sindhi,0.9279279279279279,0.6477987421383647,0.762962962962963,159.0
sahiwal,0.88125,0.9679633867276888,0.9225736095965104,437.0
accuracy,0.9045120671563484,0.9045120671563484,0.9045120671563484,0.9045120671563484
macro avg,0.9124515745026794,0.8523128664847629,0.8733893350348917,953.0
weighted avg,0.9066169009051835,0.9045120671563484,0.90046086036036,953.0
